Nº;HORTALIZAS;0;CAL;PR;GR;HC;H20;NE.;A;B1;B2;C;Niac;Na;K;Ca;Mg;Fe;Cu;P;S;Cl
87;calabacin;cocidos;6;0,9;0;1,6;97,1;0,5;0;9;0;0;0;0,9;86;21,4;3,9;0,17;0,03;18,6;3,9;35,7
88;cardo;crudo;24;2,3;0,3;5,3;90;2,1;6100;60;125;24000;400;81;549;89;58;2,6;0,15;75;125;153
89;cardo;cocidos;17;1,4;0,2;3,6;92,4;1,7;4600;32;89;14000;800;25,7;286;73;42,3;1,8;0,06;57;63,3;96,4
90;cardillo;crudo;15;1,05;0;5,2;91,9;1,8;820;45;95;8000;0;29,7;315;40,1;53,2;1,5;0,04;112,9;56,3;82,5
91;cardillo;cocidos;10;0,7;0;2,4;95,2;1,5;0;0;0;0;0;15,6;182;23,6;23,1;0,63;0,03;79,8;41,8;61,6
92;cebolla;crudo;38;1,3;0,2;8,8;89,1;0,5;50;35;32;7500;200;8,2;137;31,2;9,3;0,4;0,11;42;60;21
93;cebolla;cocidas ;20,2;0,4;0,2;4,3;93,9;0,5;34;15;21;4500;158;6,6;78;24,4;4,9;0,25;0,07;19;23,7;4,9
94;Cebolla;frita;335;1,8;33,3;13,2;51;0,5;0;0;0;0;0;20;267;61;14,8;0,59;0,16;59;87,8;38
95;col;cruda;28;1,7;0,2;6,1;90,6;0,9;100;90;80;51000;280;29,2;260;61;14,8;0,9;0,08;36;69;39,6
96;col;cocidas ;15;1,3;0,1;2,6;94,9;0,9;0;73;0;31000;0;13,5;144;58,2;7,3;0,47;0,04;16,2;23,4;13,7
97;col;acida;23;1,4;0,3;4,1;91,6;2,3;38;26;60;17000;100;630;140;36;0;0,5;0;0;0;0
98;col debruselas;cruda;42;3,8;0,5;8,2;85,6;1,5;330;88;120;70000;600;11,8;380;37;25,3;1,2;0,11;67;135;36,5
99;col debruselas;cocidas ;20;3,1;0,4;5,1;91,5;1,3;280;33;108;41000;500;7,7;247;26;10,6;0,8;0,08;49;77,8;11,4
100;col rizada;cruda;33;3,2;0,4;5,2;90;1,9;160;220;45;45000;200;0;0;50;0;0;0;0;0;0
101;coliflor;cruda;28;2,3;0,2;5,04;91,1;1,3;70;135;115;60000;600;21;318;23;10,1;0,68;0,06;62;55;11,6
102;coliflor;cocida crudo;20;1,9;0,7;3;93,8;1,1;61;45;67;22000;390;10,3;140;16,1;5,7;0,53;0,05;36;26;10,8
103;colinabo;crudo;33;2,2;0,1;6,8;89,9;0,8;300;70;60;45000;200;50;371;52;37;0,8;0;52;50;0
104;champiñon;crudo;27;3,7;0,2;3,7;92;0;0;60;30;1900;4;0;0;25;0;0;0;0;0;0
